trait1,trait2,x1,individual
-1.337833625,0.163675696,-1.377249401,1
2.35424483,0.737822401,2.93303067,1
0.180558374,-0.724958011,-0.369892706,1
0.664940394,-0.226066781,0.108764397,1
1.902921463,0.077151117,1.36641174,1
1.200020861,-0.620156777,0.782899907,1
1.209901784,-0.308464352,0.496975559,1
-0.846771273,-0.42241668,-0.422803102,1
-0.53406565,-1.220879382,-0.873325704,1
0.497569954,0.470415153,-0.184374934,1
0.862702907,-1.401499941,0.314807268,1
3.07958363,0.314376341,2.137019356,1
1.008696417,-0.928698025,0.519857735,1
-0.561984311,0.480337866,-1.104828221,1
-1.793242688,-1.379875687,-1.826070209,1
0.298226071,-0.231072106,-0.02634084,1
-0.008667275,0.390170659,-0.386459529,1
-0.221761234,-0.243407698,-0.594583227,1
1.031744117,-0.013779781,1.200589787,1
0.745411906,-0.369676343,0.329883566,1
-0.304754152,0.146173362,-0.59069969,1
0.903933792,0.353859174,0.398630745,1
-0.258334256,-0.891032458,-0.10274095,1
1.329992478,-0.073169845,0.160098341,1
1.302188492,0.456719323,0.11073609,1
-0.81980216,-0.62663984,-0.728912527,1
1.069436348,0.940063035,1.149858911,1
-0.131730302,-0.694293848,-1.597929866,1
0.442675717,-0.620067051,-0.332624986,1
-0.444763788,-0.905107208,-0.807695542,1
1.062825883,-0.534292678,0.112813013,1
-0.319532041,0.032668305,0.019427488,1
-1.575171738,-1.563943653,-1.23238844,1
-0.418256909,-0.372436671,-0.62758713,1
1.016390162,1.219953728,1.328269525,1
-1.266439774,-2.348197085,-1.143099982,1
1.188134892,0.933769897,0.399897445,1
-0.885115423,0.598213876,-1.250787802,1
-1.11742319,-0.994419443,-0.922075302,1
-0.038327154,-1.159610638,-0.985739286,1
0.364745413,-0.425424862,0.825562285,1
-1.034314371,-2.186066523,-2.122795683,1
0.091128017,-0.533118055,-0.341142368,1
-0.335389449,0.01833101,-0.288900545,1
-0.164296984,-0.445193568,-0.024008868,1
-0.281368613,-0.303312782,-0.412015274,1
2.046646638,0.261261468,0.667955251,1
1.697122018,-0.713495993,0.641487464,1
0.99538199,0.116248967,0.565786459,1
1.899886862,0.205681136,1.37356237,1
-0.028749886,0.09375757,0.205373442,2
-0.088713753,-0.573893179,-0.064294457,2
0.171971885,0.706929975,-0.311358513,2
0.089028679,-0.677041789,0.562672051,2
0.360352868,0.605995217,0.894828491,2
-0.056959827,0.722474015,0.542651918,2
1.082389388,-0.035780177,0.132037785,2
0.651954944,0.261179143,0.538585921,2
0.371887406,1.506482215,1.779649757,2
-0.971690079,-0.111185473,-0.592809172,2
0.010204476,0.445912591,0.677598643,2
-0.826866577,-0.436242511,-0.911830738,2
-0.2875084,0.87876509,0.165239708,2
-0.325982568,0.233241314,0.498149663,2
-0.641030316,-0.207815399,-0.723172229,2
-0.030239891,-0.212563293,-0.299661551,2
1.580082864,0.401863153,0.521055643,2
1.498455096,1.26872461,1.666330536,2
0.686014101,1.107329192,1.25306236,2
-1.231409785,-1.039997779,-1.262632003,2
0.322375471,0.349338186,0.221006293,2
-0.083383899,-0.190093098,0.801838628,2
0.067625748,0.139157003,-0.394917506,2
0.287581481,0.98907813,1.231293632,2
0.114541378,-1.0279874,-0.213125655,2
-0.907982284,0.282341121,-0.748255804,2
-1.361441869,-1.539124039,-2.214975302,2
-1.466561038,-1.287961078,-2.698200995,2
-0.259042622,-0.171294547,-0.249761478,2
1.36876376,0.36590948,0.961863184,2
0.40706264,0.718343797,0.3005424,2
0.060097211,0.83511575,0.252108309,2
-1.364354037,-0.370356355,-0.957151135,2
-0.39553949,0.080571165,-0.212876692,2
-2.369070148,-1.112821018,-2.113884542,2
-0.40963742,-0.55711803,-1.329245735,2
-1.719810935,-0.452818191,-2.715036256,2
-0.543046975,-0.07097124,-0.368122198,2
-0.437668677,-0.076718997,-1.969538765,2
-0.485518179,1.157823332,0.5724057,2
0.291017743,-0.422546867,-0.534786819,2
1.215085272,1.289112085,1.013213195,2
0.116493856,0.582756338,0.466859141,2
0.475666506,-0.547876193,-0.274581546,2
-0.037754081,0.979278509,0.65470064,2
-0.647071418,-0.43796856,-0.873595574,2
-1.173430998,-0.107576051,-0.6061184,2
0.224449407,-0.391376598,-0.149854681,2
-0.070905183,0.801779582,0.229682864,2
0.552965748,0.535944405,0.300601021,2
0.080585556,1.758996667,-0.17395016,3
-0.322199879,1.081697824,-1.205149027,3
2.383559525,2.343993379,1.003421076,3
1.571455254,1.429501008,0.556375162,3
1.306570917,2.351435491,0.516445691,3
0.666689501,2.145563377,1.673005559,3
